NAME,PRICE,IMAGE,DETAILS,STOCK
"Kodak Professional Portra 400 Color Negative Film (35mm Roll Film, 36 Exposures, 5-Pack)",75.95,https://static.bhphoto.com/images/images345x345/1602778892_742308.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Very Fine Grain, VISION Film Technology,High Color Saturation, Low Contrast",In Stock
"Kodak GOLD 200 Color Negative Film (35mm Roll Film, 36 Exposures, 3-Pack)",29.95,https://static.bhphoto.com/images/images345x345/1557140731_1453695.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak Professional Portra 800 Color Negative Film (35mm Roll Film, 36 Exposures)",17.95,https://static.bhphoto.com/images/images345x345/1603371948_197191.jpg,"Daylight-Balanced Color Negative Film,ISO 800/30° in C-41 Process,Fine Grain, High Sharpness & Edge Detail,Vivid Color Saturation, Low Contrast",In Stock
"Ilford HP5 Plus Black and White Negative Film (35mm Roll Film, 36 Exposures)",8.95,https://static.bhphoto.com/images/images345x345/1657730125_24744.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Wide Exposure Latitude, Medium Contrast,Ideal for Mixed Lighting and General Use",In Stock
"Kodak Professional Tri-X 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",8.99,https://static.bhphoto.com/images/images345x345/1427200723_29170.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak Professional Ektar 100 Color Negative Film (35mm Roll Film, 36 Exposures)",13.49,https://static.bhphoto.com/images/images345x345/1268816560_585497.jpg,"Daylight-Balanced Color Negative Film,ISO 100/21° in C-41 Process,Extremely Fine Grain Structure,Vivid Color Saturation, High Sharpness",In Stock
"Kodak GC/UltraMax 400 Color Negative Film (35mm Roll Film, 36 Exposures)",8.98,https://static.bhphoto.com/images/images345x345/1249903176_27719.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak GC/UltraMax 400 Color Negative Film (35mm Roll Film, 36 Exposures, 3-Pack)",24.99,https://static.bhphoto.com/images/images345x345/1555330886_1453694.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak GOLD 200 Color Negative Film (35mm Roll Film, 36 Exposures)",8.59,https://static.bhphoto.com/images/images345x345/1420805159_27712.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"CineStill Film 800Tungsten C-41 Color Negative Film (35mm Roll Film, 36 Exposures)",16.49,https://static.bhphoto.com/images/images345x345/1699272322_1046360.jpg,"Tungsten-Balanced Color Negative Film,ISO 800/30° in C-41 or ECN-2 Process,Motion Picture Film Stock,Premoval of Rem-Jet Layer",In Stock
